Country,Countrycode2,Countrycode3,Year,POP,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Region,Currency,Reference_period,Welfaredefn,Currency_Unit,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,isEu,isOECD,exchrate_penn
Jamaica,JM,JAM,2010,2817210,Upper middle income,221771,,,National statistical authority,2.5,4,4.9,5.9,6.9,8.1,9.6,11.8,15.6,30.7,6.6,10.8,14.9,21.4,46.3,,,New 2018,High,Americas,Jamaican dollar,Year,Consumption,,Household,Person,Per capita,All,All,All,,,0.011468398
Mexico,MX,MEX,2010,114092960,Upper middle income,24434,16996,,Luxembourg Income Study,1.85,3.26,4.34,5.32,6.39,7.62,9.22,11.54,15.71,34.74,5.12,9.67,14,20.77,50.45,0.69,23.53,New 2019,High,Americas,Mexican peso,Year,Consumption,,Household,Person,Per capita,All,All,All,,true,
Peru,PE,PER,2010,29027680,Upper middle income,5499,4391,,Luxembourg Income Study,2.24,3.6,4.81,6.06,7.31,8.69,10.35,12.5,15.82,28.61,5.84,10.87,16.01,22.85,44.43,0.91,18.17,New 2019,High,Americas,Peruvian nuevo sol,Year,Consumption,,Household,Person,Per capita,All,All,All,,,
Jamaica,JM,JAM,2010,2817210,Upper middle income,,,,National statistical authority,,,,,,,,,,,,,,,,,,New 2018,High,Americas,,Year,Consumption,,Household,Person,Equivalized,All,All,All,,,0.011468398
Mexico,MX,MEX,2010,114092960,Upper middle income,48505,35900,,Luxembourg Income Study,2.13,3.67,4.77,5.77,6.84,8.04,9.62,11.8,15.52,31.83,5.81,10.54,14.88,21.42,47.36,0.8,21.17,New 2019,High,Americas,Mexican peso,Year,Consumption,,Household,Person,Equivalized,All,All,All,,true,
Peru,PE,PER,2010,29027680,Upper middle income,11423,9496,,Luxembourg Income Study,2.43,3.9,5.16,6.41,7.64,9.01,10.64,12.8,15.76,26.27,6.32,11.56,16.65,23.44,42.03,0.97,16.15,New 2019,High,Americas,Peruvian nuevo sol,Year,Consumption,,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2010,308641391,High income,26510,23057,,Research study,,,,,,,,,,,,,,,,,,New 2018,High,Americas,United States dollar 2010,Year,Consumption,,Household,Person,Equivalized,All,All,All,,,1
Colombia,CO,COL,2010,45918097,Upper middle income,,,,National statistical authority,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Consumption,,Household,Household,No adjustment,All,All,All,,,0.000526712
Colombia,CO,COL,2010,45918097,Upper middle income,,,,National statistical authority,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Consumption,,Household,Household,No adjustment,Rural,All,All,,,0.000526712
Colombia,CO,COL,2010,45918097,Upper middle income,,,,National statistical authority,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Consumption,,Household,Household,No adjustment,Urban,All,All,,,0.000526712
Mexico,MX,MEX,2010,114092960,Upper middle income,3741.47,2549.06,,World Bank,1.91,3.22,4.21,5.17,6.21,7.49,9.08,11.39,15.56,35.76,5.13,9.38,13.71,20.47,51.32,,,New 2019,Average,Americas,US$2011PPP,Year,Consumption,,Household,Person,Per capita,All,All,All,,true,
Costa Rica,CR,CRI,2010,4545280,Upper middle income,,,,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Earnings,,Household,Person,Per capita,All,All,All,,,0.001901758
Guatemala,GT,GTM,2010,14630417,Upper middle income,,,,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Earnings,,Household,Person,Per capita,All,All,All,,,0.124103802
Mexico,MX,MEX,2010,117318941,Upper middle income,,,,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Earnings,,Household,Person,Per capita,All,All,All,,true,0.079138916
Canada,CA,CAN,2010,34168668,High income,49900,42000,,National statistical authority,0.2,2.2,4,5.8,7.5,9.2,11.1,13.5,16.9,29.5,2.4,9.8,16.7,24.6,46.4,,,New 2018,High,Americas,Canadian dollar 2016,Year,Earnings,,Household,Person,Equivalized,All,All,All,,true,0.970720372
Canada,CA,CAN,2010,34168668,High income,,,,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Earnings,,Household,Person,Equivalized,All,All,All,,true,1.030162783
United States,US,USA,2010,308641391,High income,,,,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Earnings,,Household,Person,Equivalized,All,All,All,,,1
Argentina,AR,ARG,2011,41320496,Upper middle income,,,40.6,United Nations,2.2,3.7,4.6,6.1,6.2,7.6,10.3,12.1,16.5,30.7,5.9,10.7,13.8,22.4,47.2,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,Urban,All,All,,,
Bolivia,BO,BOL,2011,10212951,Lower middle income,,,47.1,United Nations,1,2.5,3.8,5.1,6.3,7.8,9.8,12.4,16.9,34.4,3.5,8.9,14.1,22.2,51.3,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Brazil,BR,BRA,2011,197514544,Upper middle income,8929,5883,49.9,Luxembourg Income Study,1.2,2.52,3.57,4.65,5.87,7.25,8.77,11.41,16,38.75,3.71,8.22,13.13,20.18,54.75,0.38,26.66,New 2019,High,Americas,Brazilian real,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Brazil,BR,BRA,2011,197514544,Upper middle income,,,52.6,United Nations,1.2,2.4,3.3,4.2,5.4,6.8,8.3,10.8,15.7,41.8,3.6,7.5,12.2,19.1,57.5,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Chile,CL,CHL,2011,17233584,High income,2199716,1394815,48.7,Luxembourg Income Study,1.7,2.96,3.88,4.8,5.79,6.88,8.4,10.76,15.51,39.32,4.66,8.68,12.67,19.15,54.83,0.61,27.14,New 2019,High,Americas,Chilean peso,Year,Income (net),,Household,Person,Per capita,All,All,All,,true,
Chile,CL,CHL,2011,17233584,High income,,,46.9,United Nations,1.9,3.2,4.1,5,6,7.1,8.6,10.9,15.3,38,5.1,9.1,13.1,19.5,53.3,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,true,
Colombia,CO,COL,2011,45662748,Upper middle income,,,54.9,United Nations,1,2.1,3,4,5,6.4,8.2,10.9,15.9,43.3,3.1,7,11.4,19.1,59.2,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Costa Rica,CR,CRI,2011,4633086,Upper middle income,,,50,United Nations,1.3,2.6,3.5,4.5,5.6,7,8.9,11.7,17.1,37.9,3.9,8,12.6,20.6,55,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Dominican Republic,DO,DOM,2011,9813219,Upper middle income,,,48.4,United Nations,1.7,2.9,3.8,4.7,5.7,7,8.9,11.6,15.8,38,4.6,8.5,12.7,20.5,53.8,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Ecuador,EC,ECU,2011,15243885,Upper middle income,,,45.8,United Nations,1.7,3.1,4,5,6.1,7.6,9.3,12,16.6,34.7,4.8,9,13.7,21.3,51.3,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Ecuador,EC,ECU,2011,15177355,Upper middle income,,,45.9,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,1
El Salvador,SV,SLV,2011,6192560,Lower middle income,,,43,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,1
Guatemala,GT,GTM,2011,14948792,Upper middle income,10148,5819,55.2,Luxembourg Income Study,0.97,2.11,3.01,3.96,5.08,6.43,8.22,10.96,15.7,43.57,3.08,6.97,11.5,19.18,59.27,0.29,31.89,New 2019,High,Americas,Guatemalan quetzal,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Honduras,HN,HND,2011,8480670,Lower middle income,,,55.1,United Nations,1.2,2.3,3.1,4,5,6.2,7.8,10.4,15.3,44.7,3.5,7.1,11.2,18.2,60,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Panama,PA,PAN,2011,3706479,High income,,,52.8,United Nations,1,2.1,3.2,4.3,5.6,7,9,11.7,16.4,39.8,3.1,7.5,12.6,20.7,56.2,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Paraguay,PY,PRY,2011,6333981,Upper middle income,,,53.5,United Nations,1.1,2.2,3.2,4.2,5.4,6.8,8.5,11.1,15.7,42,3.3,7.4,12.2,19.6,57.7,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Peru,PE,PER,2011,29264314,Upper middle income,,,46.3,United Nations,1.4,2.7,3.9,5.1,6.5,7.9,9.7,12.1,16,34.8,4.1,9,14.4,21.8,50.8,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2011,3368926,High income,,,41.3,United Nations,2.2,3.5,4.5,5.5,6.7,8,9.8,12.2,16.3,31.3,5.7,10,14.7,22,47.6,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2011,3368926,High income,,,41.5,United Nations,2.2,3.4,4.4,5.5,6.7,8.1,9.8,12.3,16.4,31.2,5.6,9.9,14.8,22.1,47.6,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,Urban,All,All,,,
Venezuela,VE,VEN,2011,28887874,Upper middle income,,,36.8,United Nations,2.4,4.1,4.7,6.6,7.3,8.7,10.1,12.6,15.9,27.6,6.5,11.3,16,22.7,43.5,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Brazil,BR,BRA,2011,197514544,Upper middle income,15874,10740,46.9,Luxembourg Income Study,1.41,2.89,3.99,5.04,6.21,7.5,9.16,11.55,15.97,36.29,4.3,9.03,13.71,20.7,52.26,0.43,24.48,New 2019,High,Americas,Brazilian real,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
Brazil,BR,BRA,2011,198686688,Upper middle income,15619,10460,48.3,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,,1.672828755
Canada,CA,CAN,2011,34538622,High income,48400,42900,31.1,National statistical authority,2.7,4.6,5.9,7.1,8.3,9.5,10.9,12.6,15.1,23.3,7.3,13,17.8,23.5,38.4,,,New 2018,High,Americas,Canadian dollar 2016,Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,0.989530692
Canada,CA,CAN,2011,34538622,High income,43262,38205,31.3,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,1.010580074
Chile,CL,CHL,2011,17233584,High income,4158713,2760648,46.5,Luxembourg Income Study,1.84,3.16,4.08,5.05,6.08,7.27,8.8,11.05,15.49,37.18,5,9.13,13.35,19.85,52.67,0.64,25.34,New 2019,High,Americas,Chilean peso,Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,
Chile,CL,CHL,2011,17153357,High income,4393755,2920612,47.1,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,483.6675
Costa Rica,CR,CRI,2011,4600474,Upper middle income,4415813,2865944,48,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,,505.6642399
Guatemala,GT,GTM,2011,14948792,Upper middle income,22623,13856,52.7,Luxembourg Income Study,1.08,2.36,3.27,4.32,5.5,6.86,8.55,11.11,15.83,41.12,3.44,7.59,12.36,19.66,56.95,0.33,29.99,New 2019,High,Americas,Guatemalan quetzal,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2011,311051373,High income,37595,30077,38.9,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,,1
Argentina,AR,ARG,2011,41320496,Upper middle income,,,,SEDLAC,1.73,3.11,4.26,5.47,6.77,8.37,10.23,12.69,16.83,30.54,4.84,9.73,15.15,22.92,47.37,,,New 2019,High,Americas,,,Income (net/gross),,Household,Person,Per capita,Urban,All,All,,,
Bolivia,BO,BOL,2011,10078343,Lower middle income,12720,,,SEDLAC,1.1,2.7,4,5.2,6.4,7.9,9.8,12.3,16.9,33.7,3.8,9.2,14.3,22.1,50.6,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.144155313
Brazil,BR,BRA,2011,198686688,Upper middle income,9900,,,SEDLAC,1.1,2.3,3.2,4.3,5.4,6.8,8.5,11,15.8,41.6,3.4,7.5,12.2,19.5,57.4,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.59778982
Chile,CL,CHL,2011,17233584,High income,,,,SEDLAC,1.83,3.11,4.03,4.93,5.93,7.04,8.56,10.84,15.3,38.42,4.95,8.96,12.97,19.4,53.72,,,New 2019,High,Americas,,,Income (net/gross),,Household,Person,Per capita,All,All,All,,true,
Colombia,CO,COL,2011,46406646,Upper middle income,,,,SEDLAC,1.2,2.3,3.2,4.1,5.2,6.5,8.3,11,15.8,42.3,3.5,7.3,11.7,19.3,58.1,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.000541085
Costa Rica,CR,CRI,2011,4600474,Upper middle income,2636256,,,SEDLAC,1.5,2.7,3.7,4.6,5.7,7.1,8.9,11.7,16.9,37,4.2,8.3,12.8,20.6,53.9,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.001977597
Dominican Republic,DO,DOM,2011,10027095,Upper middle income,95964,,,SEDLAC,1.8,3,3.9,4.8,5.9,7.2,9,11.5,15.7,37.2,4.8,8.7,13.1,20.5,52.9,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.026156401
Ecuador,EC,ECU,2011,15177355,Upper middle income,2184,,,SEDLAC,1.5,2.9,4,5,6.2,7.7,9.5,12.2,16.9,34.1,4.4,9,13.9,21.7,51,,,New 2018,High,Americas,United States dollar,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,1
El Salvador,SV,SLV,2011,6192560,Lower middle income,1740,,,SEDLAC,2.1,3.5,4.5,5.5,6.6,7.9,9.5,11.7,15.9,32.8,5.6,10,14.5,21.2,48.7,,,New 2018,High,Americas,United States dollar,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,1
Guatemala,GT,GTM,2011,14948919,Upper middle income,12300,,,SEDLAC,1.4,2.6,3.5,4.4,5.4,6.7,8.3,10.9,15.4,41.5,4,7.9,12.1,19.2,56.9,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.128445249
Honduras,HN,HND,2011,8351600,Lower middle income,32580,,,SEDLAC,0.8,1.9,2.8,3.9,5,6.4,8.2,10.8,15.9,44.2,2.7,6.7,11.4,19,60.1,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.052862109
Panama,PA,PAN,2011,3707782,High income,,,,SEDLAC,1.1,2.3,3.4,4.5,5.6,7,8.8,11.5,16.1,39.6,3.4,7.9,12.6,20.3,55.7,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Per capita,All,All,All,,,1
Paraguay,PY,PRY,2011,6293783,Upper middle income,13194324,,,SEDLAC,1.1,2.3,3.3,4.3,5.6,6.9,8.6,11.1,15.4,41.4,3.4,7.6,12.5,19.7,56.8,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.000238583
Peru,PE,PER,2011,29759989,Upper middle income,7404,,,SEDLAC,1.5,2.9,4.1,5.3,6.7,8.1,9.8,12.1,16,33.5,4.4,9.4,14.8,21.9,49.5,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.363095022
Uruguay,UY,URY,2011,3385624,High income,131412,,,SEDLAC,2.1,3.3,4.4,5.5,6.6,8,9.8,12.2,16.4,31.7,5.4,9.9,14.6,22,48.1,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.051775355
Argentina,AR,ARG,2011,41320496,Upper middle income,,,,SEDLAC,1.98,3.48,4.67,5.89,7.16,8.59,10.32,12.65,16.49,28.75,5.46,10.56,15.76,22.98,45.25,,,New 2019,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,Urban,All,All,,,
Bolivia,BO,BOL,2011,10078343,Lower middle income,,,,SEDLAC,1.2,2.9,4.2,5.5,6.8,8.2,10,12.5,16.6,31.9,4.1,9.7,15,22.5,48.5,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.144155313
Brazil,BR,BRA,2011,198686688,Upper middle income,,,,SEDLAC,1.3,2.6,3.5,4.5,5.7,6.9,8.5,10.9,15.6,40.4,3.9,8,12.6,19.4,56,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.59778982
Chile,CL,CHL,2011,17233584,High income,,,,SEDLAC,1.97,3.36,4.27,5.15,6.11,7.18,8.58,10.81,15.07,37.51,5.32,9.42,13.29,19.39,52.58,,,New 2019,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,true,
Colombia,CO,COL,2011,46406646,Upper middle income,,,,SEDLAC,1.4,2.6,3.5,4.4,5.5,6.8,8.5,11.1,15.6,40.6,4,7.9,12.3,19.6,56.2,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.000541085
Costa Rica,CR,CRI,2011,4600474,Upper middle income,,,,SEDLAC,1.7,3,3.9,4.9,5.9,7.3,9.1,11.8,16.9,35.5,4.7,8.8,13.2,20.9,52.4,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.001977597
Dominican Republic,DO,DOM,2011,10027095,Upper middle income,,,,SEDLAC,2,3.2,4.1,5.1,6.1,7.4,9.2,11.6,15.6,35.7,5.2,9.2,13.5,20.8,51.3,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.026156401
Ecuador,EC,ECU,2011,15177355,Upper middle income,,,,SEDLAC,1.7,3.2,4.3,5.4,6.5,7.9,9.7,12.3,16.7,32.4,4.9,9.7,14.4,22,49.1,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,1
El Salvador,SV,SLV,2011,6192560,Lower middle income,,,,SEDLAC,2.3,3.8,4.8,5.9,6.9,8.1,9.7,11.8,15.6,31.2,6.1,10.7,15,21.5,46.8,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,1
Guatemala,GT,GTM,2011,14948919,Upper middle income,,,,SEDLAC,1.6,2.8,3.8,4.7,5.7,6.9,8.6,10.9,15.1,40,4.4,8.5,12.6,19.5,55.1,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.128445249
Honduras,HN,HND,2011,8351600,Lower middle income,,,,SEDLAC,0.9,2.1,3,4.1,5.3,6.7,8.4,11,15.8,42.9,3,7.1,12,19.4,58.7,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.052862109
Panama,PA,PAN,2011,3707782,High income,,,,SEDLAC,1.3,2.5,3.6,4.7,5.9,7.2,9,11.5,15.8,38.3,3.8,8.3,13.1,20.5,54.1,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,1
Paraguay,PY,PRY,2011,6293783,Upper middle income,,,,SEDLAC,1.2,2.5,3.5,4.6,5.8,7.1,8.8,11.1,15.3,40.2,3.7,8.1,12.9,19.9,55.5,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.000238583
Peru,PE,PER,2011,29759989,Upper middle income,,,,SEDLAC,1.6,3.1,4.3,5.6,6.9,8.4,10,12.2,15.8,32.1,4.7,9.9,15.3,22.2,47.9,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.363095022
Uruguay,UY,URY,2011,3385624,High income,,,,SEDLAC,2.4,3.7,4.7,5.7,6.9,8.2,9.8,12.1,16.1,30.4,6.1,10.4,15.1,21.9,46.5,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.051775355
Argentina,AR,ARG,2011,41320496,Upper middle income,8606.33,6359.4,,World Bank,1.7,3.08,4.2,5.39,6.69,8.3,10.14,12.66,16.84,31,4.78,9.59,14.99,22.8,47.84,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,Urban,All,All,,,
Bolivia,BO,BOL,2011,10212951,Lower middle income,4584.75,3254.54,,World Bank,1.12,2.66,3.97,5.21,6.41,7.87,9.83,12.35,16.89,33.69,3.77,9.19,14.28,22.18,50.58,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Brazil,BR,BRA,2011,197514544,Upper middle income,6445.1,3903.1,,World Bank,1.06,2.26,3.23,4.25,5.4,6.83,8.5,10.97,15.78,41.71,3.33,7.48,12.24,19.47,57.49,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Chile,CL,CHL,2011,17233584,High income,6161.52,3971.46,,World Bank,1.78,3.1,4.02,4.92,5.93,7.04,8.56,10.85,15.33,38.46,4.88,8.94,12.98,19.41,53.79,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,true,
Colombia,CO,COL,2011,45662748,Upper middle income,4837.99,2795.6,,World Bank,1.18,2.3,3.2,4.13,5.18,6.52,8.31,10.98,15.84,42.37,3.47,7.33,11.7,19.29,58.21,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Costa Rica,CR,CRI,2011,4633086,Upper middle income,7819.4,5003.44,,World Bank,1.48,2.74,3.66,4.62,5.74,7.11,8.95,11.72,16.93,37.05,4.22,8.28,12.85,20.67,53.98,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Dominican Republic,DO,DOM,2011,9813219,Upper middle income,4597.64,2952.74,,World Bank,1.77,2.98,3.82,4.74,5.8,7.12,8.99,11.58,15.71,37.49,4.74,8.56,12.92,20.57,53.2,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Ecuador,EC,ECU,2011,15243885,Upper middle income,4476.19,3077.35,,World Bank,1.49,2.93,3.97,4.99,6.2,7.69,9.47,12.24,16.9,34.12,4.42,8.96,13.9,21.71,51.02,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
El Salvador,SV,SLV,2011,6210567,Lower middle income,3232.34,2321.08,,World Bank,2.12,3.47,4.5,5.53,6.61,7.86,9.52,11.75,15.9,32.75,5.59,10.03,14.47,21.27,48.65,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Honduras,HN,HND,2011,8480670,Lower middle income,3334.09,1898.16,,World Bank,0.84,1.9,2.83,3.86,5,6.4,8.15,10.84,15.92,44.25,2.75,6.68,11.4,18.99,60.17,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Panama,PA,PAN,2011,3706479,High income,7455.49,4674.74,,World Bank,1.13,2.29,3.37,4.46,5.63,7,8.85,11.47,16.13,39.66,3.42,7.83,12.63,20.32,55.79,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Paraguay,PY,PRY,2011,6333981,Upper middle income,5483.63,3392.44,,World Bank,1.19,2.36,3.34,4.32,5.57,6.91,8.55,11.04,15.36,41.35,3.55,7.67,12.48,19.59,56.71,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Peru,PE,PER,2011,29264314,Upper middle income,4369.96,3217.44,,World Bank,1.53,2.87,4.07,5.31,6.67,8.11,9.85,12.14,15.98,33.48,4.4,9.37,14.78,21.99,49.46,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2011,3368926,High income,8739.41,6381.43,,World Bank,2.07,3.32,4.36,5.45,6.64,8.03,9.78,12.24,16.39,31.7,5.38,9.81,14.68,22.02,48.09,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Brazil,BR,BRA,2011,197514544,Upper middle income,9834,6120,,Luxembourg Income Study,1.09,2.33,3.34,4.37,5.55,6.93,8.5,10.99,15.61,41.28,3.43,7.71,12.49,19.49,56.89,0.34,29.14,New 2019,High,Americas,Brazilian real,Year,Income (gross),,Household,Person,Per capita,All,All,All,,,
Guatemala,GT,GTM,2011,14948792,Upper middle income,10863,6002,,Luxembourg Income Study,0.9,1.98,2.84,3.78,4.89,6.23,8.07,10.93,15.85,44.52,2.88,6.62,11.12,19,60.37,0.27,32.7,New 2019,High,Americas,Guatemalan quetzal,Year,Income (gross),,Household,Person,Per capita,All,All,All,,,
Brazil,BR,BRA,2011,197514544,Upper middle income,17461,11225,,Luxembourg Income Study,1.3,2.69,3.73,4.74,5.85,7.12,8.75,11.15,15.67,39,4,8.47,12.97,19.9,54.67,0.4,27.12,New 2019,High,Americas,Brazilian real,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,
Brazil,BR,BRA,2011,198686688,Upper middle income,,,,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,1.672828755
Canada,CA,CAN,2011,34538622,High income,57500,49100,,National statistical authority,2.3,4,5.2,6.5,7.8,9.2,10.7,12.7,15.6,25.8,6.3,11.7,17,23.4,41.4,,,New 2018,High,Americas,Canadian dollar 2016,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,true,0.989530692
Canada,CA,CAN,2011,34538622,High income,,,,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (gross),,Household,Person,Equivalized,All,All,All,,true,1.010580074
Chile,CL,CHL,2011,17153357,High income,,,,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (gross),,Household,Person,Equivalized,All,All,All,,true,483.6675
Guatemala,GT,GTM,2011,14948792,Upper middle income,24124,14376,,Luxembourg Income Study,1.02,2.22,3.1,4.14,5.32,6.7,8.43,11.11,15.98,41.97,3.23,7.24,12.02,19.55,57.95,0.31,30.62,New 2019,High,Americas,Guatemalan quetzal,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2011,311584064,High income,,,,National statistical authority,,,,,,,,,,,3.45,9.04,14.75,22.76,50,,22.1,New 2019,High,Americas,,,Income (gross),,Household,Person,Equivalized,All,All,All,,,
